"Идентификатор";"Наименование УБИ";"Объект воздействия (источник)";"Применимость";"Тематика";"Область исключённой угрозы (анализ)";"Программный объект (анализ)";"Обоснование отбора (анализ)";"Почему не подходит для ПО (анализ)";"Условие применимости (анализ)";"Описание (источник)";"Источник угрозы";"Нарушение конфиденциальности";"Нарушение целостности";"Нарушение доступности";"Статус угрозы";"Дата включения";"Дата изменения";"Замечания";"Источник"
"УБИ.113";"Угроза перезагрузки аппаратных и программно-аппаратных средств вычислительной техники";"Системное программное обеспечение, аппаратное обеспечение";"Вне области анализа ПО";"Вне области ПО";"Аппаратные средства";"";"Сценарий основан на принудительной перезагрузке оборудования и обнулении оперативной памяти.";"Сценарий основан на принудительной перезагрузке оборудования и обнулении оперативной памяти.";"";"Угроза заключается в возможности сброса пользователем (нарушителем) состояния оперативной памяти (обнуления памяти) путём случайного или намеренного осуществления перезагрузки отдельных устройств, блоков или системы в целом.
Данная угроза обусловлена свойством оперативной памяти обнулять своё состояние при выключении и перезагрузке.
Реализация данной угрозы возможна как аппаратным способом (нажатием кнопки), так и программным (локально или удалённо) при выполнении следующих условий:
наличие в системе открытых сессий работы пользователей;
наличие у нарушителя прав в системе (или физической возможности) на осуществление форсированной перезагрузки";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"0";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 115"
"УБИ.125";"Угроза подключения к беспроводной сети в обход процедуры аутентификации";"Сетевой узел, сетевое программное обеспечение";"Вне области анализа ПО";"Вне области ПО";"Сетевая инфраструктура";"";"Сценарий полуавтоматического подключения к беспроводной точке требует физического доступа к сетевому оборудованию.";"Сценарий полуавтоматического подключения к беспроводной точке требует физического доступа к сетевому оборудованию.";"";"Угроза заключается в возможности осуществления нарушителем перехвата трафика беспроводной сети или других неправомерных действий путём легализации нарушителем собственного подключения к беспроводной сети в полуавтоматическом режиме (например, WPS) без ввода ключа шифрования.
Данная угроза обусловлена слабостями процедуры аутентификации беспроводных устройств в ходе полуавтоматического подключения.
Реализация данной угрозы возможна при условии наличия у нарушителя физического доступа к беспроводной точке доступа, поддерживающей полуавтоматический режим подключения";"Внешний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 127"
"УБИ.133";"Угроза получения сведений о владельце беспроводного устройства";"Сетевой узел, метаданные";"Вне области анализа ПО";"Вне области ПО";"Сетевая инфраструктура";"";"Описывается отслеживание владельца беспроводного устройства по взаимодействию с точками доступа.";"Описывается отслеживание владельца беспроводного устройства по взаимодействию с точками доступа.";"";"Угроза заключается в возможности раскрытия нарушителем сведений о географических перемещениях дискредитируемого пользователя в определённые промежутки времени, в том числе выявить место его работы, проживания и т.п. Получение таких сведений может использоваться нарушителем в дальнейшем для реализации угроз в информационных системах, доступ к которым имеет дискредитируемый пользователь.
Данная угроза обусловлена слабостью защиты идентификационной информации беспроводных точек доступа при их подключении к сети Интернет.
Реализация данной угрозы возможна при условии наличия у нарушителя доступа к идентификационными данным стационарных точек беспроводного доступа, с которыми в автоматическом режиме осуществляет взаимодействие беспроводное устройство дискредитируемого пользователя";"Внешний нарушитель с низким потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 135"
"УБИ.134";"Угроза потери доверия к поставщику облачных услуг";"Объекты файловой системы, информационная система, иммигрированная в облако";"Вне области анализа ПО";"Вне области ПО";"Организация и персонал";"";"Причина угрозы — потеря доверия и ресурсов поставщиком облачных услуг, то есть организационный риск.";"Причина угрозы — потеря доверия и ресурсов поставщиком облачных услуг, то есть организационный риск.";"";"Угроза заключается в возможности снижения уровня защищённости и допущения дополнительных ошибок в обеспечении безопасности защищаемой в облачной системе информации из-за невосполнимого оттока у поставщика облачных услуг необходимых ресурсов в связи с потерей потребителями облачных услуг доверия к их поставщику.
Данная угроза обусловлена тем, что из-за обнародования фактов об инцидентах информационной безопасности, связанных с поставщиком облачных услуг, происходит потеря доверия к такому поставщику со стороны потребителей облачных услуг, и, как следствие, возникает необходимость лавинообразного выделения поставщиком облачных услуг ресурсов (человеческих, технических, финансовых) для решения возникающих в данной ситуации задач (множественные консультации пользователей, экстренный пересмотр политик безопасности, модернизация системы защиты и др.), что не только может вызвать нехватку ресурсов для обеспечения текущего уровня защищённости информации, но и спровоцировать допуск «в спешке» новых ошибок.
Реализация данной угрозы возможна в случае обнародования единичных или множественных фактов об инцидентах информационной безопасности, связанных с поставщиком облачных услуг, повлёкших значительные убытки для его клиентов";"Внутренний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 136"
"УБИ.137";"Угроза потери управления облачными ресурсами";"Сетевой трафик, объекты файловой системы";"Вне области анализа ПО";"Вне области ПО";"Организация и персонал";"";"Сценарий связан с договорными обязательствами, трансграничной передачей и управлением облачными ресурсами.";"Сценарий связан с договорными обязательствами, трансграничной передачей и управлением облачными ресурсами.";"";"Угроза заключается в возможности нарушения договорных обязательств со стороны поставщика облачных услуг в отношении их потребителя из-за значительной сложности построения эффективной системы управления облачными ресурсами облачной системы, особенно использующей облачные ресурсы других поставщиков облачных услуг.
Данная угроза обусловлена сложностью определения логического и физического местоположения облачных ресурсов, недостаточностью мер физического контроля доступа к хранилищам данных, резервного копирования и др., а также необходимостью учёта особенностей законодательства в области защиты информации стран, резидентами которых являются поставщики облачных услуг, выполняющих роль субподрядчиков по оказанию заказанных облачных услуг.
Реализация данной угрозы возможна при условии, что выполнение требований к функционалу облачной системы затрудняется (или становится невозможным) из-за правовых норм других стран, участвующих в трансграничной передаче облачного трафика";"Внешний нарушитель с высоким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 139"
"УБИ.138";"Угроза потери управления собственной инфраструктурой при переносе её в облако";"Информационная система, иммигрированная в облако, системное программное обеспечение, прикладное программное обеспечение, сетевое программное обеспечение";"Вне области анализа ПО";"Вне области ПО";"Организация и персонал";"";"Описываются разделение ответственности и ошибки управления инфраструктурой при миграции в облако.";"Описываются разделение ответственности и ошибки управления инфраструктурой при миграции в облако.";"";"Угроза заключается в возможности допуска ошибок в управлении инфраструктурой системы потребителя облачных услуг, иммигрированной в облако, со стороны поставщика облачных услуг из-за отсутствия у него сведений об особенностях управления конкретной системы, а также из-за отсутствия у потребителя облачных услуг, обладающего такими сведениями, возможности проводить весь комплекс работ по управлению инфраструктурой собственной системы в связи с её иммиграцией в облако.
Данная угроза обусловлена невозможностью достоверной оценки потребителем облачных услуг реального уровня защищённости, обеспечиваемого поставщиком облачных услуг в отношении защищаемой информации потребителя облачных услуг, в связи с закрытостью для потребителей сведений о применяемых поставщиком облачных услуг технологиях, программных и технических решениях, а также конкретных параметрах настроек средств защиты информации.
Реализация данной угрозы возможна в случаях передачи поставщику облачных услуг части функций управления системой потребителя облачных услуг (при миграции части или всей системы в облако)";"Внутренний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 140"
"УБИ.139";"Угроза преодоления физической защиты";"Сервер, рабочая станция, носитель информации, аппаратное обеспечение";"Вне области анализа ПО";"Вне области ПО";"Физический доступ и каналы утечки";"";"Угроза основана на преодолении мер контроля физического доступа к помещениям и аппаратуре.";"Угроза основана на преодолении мер контроля физического доступа к помещениям и аппаратуре.";"";"Угроза заключается в возможности осуществления нарушителем практически любых деструктивных действий в отношении дискредитируемой информационной системы при получении им физического доступа к аппаратным средствам вычислительной техники системы путём преодоления системы контроля физического доступа, организованной в здании предприятия.
Данная угроза обусловлена уязвимостями в системе контроля физического доступа (отсутствием замков в помещении, ошибками персонала и т.п.).
Реализация данной угрозы возможна при условии успешного применения нарушителем любого из методов проникновения на объект (обман персонала, взлом замков и др.)";"Внешний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 141"
"УБИ.141";"Угроза привязки к поставщику облачных услуг";"Информационная система, иммигрированная в облако, системное программное обеспечение, сетевое программное обеспечение, сетевой трафик, объекты файловой системы";"Вне области анализа ПО";"Вне области ПО";"Облачная инфраструктура";"";"Сценарий описывает зависимость мигрированной ИС от поставщика облачной инфраструктуры и невозможность смены поставщика. Несовместимость форматов и API здесь — причина ограничения миграции, а не самостоятельное воздействие на программный продукт.";"Сценарий описывает зависимость мигрированной ИС от поставщика облачной инфраструктуры и невозможность смены поставщика. Несовместимость форматов и API здесь — причина ограничения миграции, а не самостоятельное воздействие на программный продукт.";"";"Угроза заключается в возможности возникновения трудно решаемых (или даже неразрешимых) проблем технического, организационного, юридического или другого характера, препятствующих осуществлению потребителем облачных услуг смены их поставщика.
Данная угроза обусловлена отсутствием совместимости между форматами данных и программными интерфейсами, используемыми в облачных инфраструктурах различных поставщиков облачных услуг.
Реализация данной угрозы возможна при условии использования поставщиком облачных услуг нестандартного программного обеспечения или формата образов виртуальных машин и отсутствием средств преобразования образа виртуальной машины из используемого им формата в другой (используемый другим поставщиком)";"Внутренний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 143"
"УБИ.142";"Угроза приостановки оказания облачных услуг вследствие технических сбоев";"Системное программное обеспечение, аппаратное обеспечение, канал связи";"Вне области анализа ПО";"Вне области ПО";"Облачная инфраструктура";"";"Угроза относится к техническому обслуживанию, отказам оборудования и каналов поставщиков облачных услуг.";"Угроза относится к техническому обслуживанию, отказам оборудования и каналов поставщиков облачных услуг.";"";"Угроза заключается в возможности снижения качества облачных услуг (или даже отказа в их оказании конечным потребителям) из-за возникновения технических сбоев хотя бы у одного из поставщиков облачных услуг (входящих в цепь посредников при оказании облачных услуг их конечному потребителю), а также из-за возникновения существенных задержек или потерь в каналах передачи данных, арендуемых потребителем или поставщиками облачных услуг.
Данная угроза обусловлена слабостями процедуры контроля за выполнением технического обслуживания и соблюдением режимов функционирования технических средств облачной информационной системы.
Реализация данной угрозы возможна при условии отсутствия механизмов резервирования средств обработки, хранения и передачи информации, входящих в состав облачной информационной системы";"";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 144"
"УБИ.156";"Угроза утраты носителей информации";"Носитель информации";"Вне области анализа ПО";"Вне области ПО";"Физический доступ и каналы утечки";"";"Потеря физического носителя связана с его учётом и обращением сотрудников.";"Потеря физического носителя связана с его учётом и обращением сотрудников.";"";"Угроза заключается в возможности раскрытия информации, хранящейся на утерянном носителе (в случае отсутствия шифрования данных), или её потери (в случае отсутствия резервной копий данных).
Данная угроза обусловлена слабостями мер регистрации и учёта носителей информации, а также мер резервирования защищаемых данных.
Реализация данной угрозы возможна вследствие халатности сотрудников";"Внутренний нарушитель с низким потенциалом";"1";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 158"
"УБИ.157";"Угроза физического выведения из строя средств хранения, обработки и (или) ввода/вывода/передачи информации";"Сервер, рабочая станция, носитель информации, аппаратное обеспечение";"Вне области анализа ПО";"Вне области ПО";"Физический доступ и каналы утечки";"";"Угроза описывает физическое повреждение оборудования и носителей.";"Угроза описывает физическое повреждение оборудования и носителей.";"";"Угроза заключается в возможности умышленного выведения из строя внешним нарушителем средств хранения, обработки и (или) ввода/вывода/передачи информации, что может привести к нарушению доступности, а в некоторых случаях и целостности защищаемой информации.
Данная угроза обусловлена слабостями мер контроля физического доступа к средствам хранения, обработки и (или) ввода/вывода/передачи информации.
Реализация данной угрозы возможна при условии получения нарушителем физического доступа к носителям информации (внешним, съёмным и внутренним накопителям), средствам обработки информации (процессору, контроллерам устройств и т.п.) и средствам ввода/вывода информации (клавиатура и т.п.)";"Внешний нарушитель с низким потенциалом";"0";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 159"
"УБИ.160";"Угроза хищения средств хранения, обработки и (или) ввода/вывода/передачи информации";"Сервер, рабочая станция, носитель информации, аппаратное обеспечение";"Вне области анализа ПО";"Вне области ПО";"Физический доступ и каналы утечки";"";"Угроза описывает кражу аппаратных средств и физических носителей.";"Угроза описывает кражу аппаратных средств и физических носителей.";"";"Угроза заключается в возможности осуществления внешним нарушителем кражи компьютера (и подключённых к нему устройств), USB-накопителей, оптических дисков или других средств хранения, обработки, ввода/вывода/передачи информации.
Данная угроза обусловлена слабостями мер контроля физического доступа к средствам хранения, обработки и (или) ввода/вывода/передачи информации.
Реализация данной угрозы возможна при условии наличия у нарушителя физического доступа к носителям информации (внешним, съёмным и внутренним накопителям), средствам обработки информации (процессору, контроллерам устройств и т.п.) и средствам ввода/вывода информации (клавиатура и т.п.)";"Внешний нарушитель с низким потенциалом";"1";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 162"
"УБИ.164";"Угроза распространения состояния «отказ в обслуживании» в облачной инфраструктуре";"Облачная инфраструктура, созданная с использованием технологий виртуализации";"Вне области анализа ПО";"Вне области ПО";"Облачная инфраструктура";"";"Описано каскадное распространение отказа облачной инфраструктуры и зависимых систем, а не дефект конкретного программного компонента.";"Описано каскадное распространение отказа облачной инфраструктуры и зависимых систем, а не дефект конкретного программного компонента.";"";"Угроза заключается в возможности распространения негативных последствий от реализации угроз на физическом или виртуальном уровне облачной инфраструктуры на уровни управления и оркестровки, а также на все информационные системы, развёрнутые на базе дискредитированной облачной инфраструктуры.
Данная угроза обусловлена невозможностью функционирования информационных систем в облаке при некорректной работе самой облачной инфраструктуры, а также зависимостью работоспособности верхних уровней облачной инфраструктуры от работоспособности нижних.
Реализация данной угрозы возможна в случае приведения облачной инфраструктуры на физическом или виртуальном уровне облачной инфраструктуры в состояние «отказ в обслуживании»";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-31 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 166"
"УБИ.175";"Угроза «фишинга»";"Рабочая станция, сетевое программное обеспечение, сетевой трафик";"Вне области анализа ПО";"Вне области ПО";"Организация и персонал";"";"Сценарий основан на убеждении пользователя и недостатке знаний о фишинге; самостоятельная уязвимость ПО не указана.";"Сценарий основан на убеждении пользователя и недостатке знаний о фишинге; самостоятельная уязвимость ПО не указана.";"";"Угроза заключается в возможности неправомерного ознакомления нарушителем с защищаемой информацией (в т.ч. идентификации/аутентификации) пользователя путём убеждения его с помощью методов социальной инженерии (в т.ч. посылкой целевых писем (т.н. spear-phishing attack), с помощью звонков с вопросом об открытии вложения письма, имитацией рекламных предложений (fake offers) или различных приложений (fake apps)) зайти на поддельный сайт (выглядящий одинаково с оригинальным), на котором от дискредитируемого пользователя требуется ввести защищаемую информацию или открыть заражённое вложение в письме.
Данная угроза обусловлена недостаточностью знаний пользователей о методах и средствах «фишинга».
Реализация данной угрозы возможна при условии наличия у нарушителя:
сведений о конкретных сайтах, посещаемых пользователем, на которых требуется ввод защищаемой информации;
средств создания и запуска поддельного сайта;
сведений о контактах пользователя с доверенной организацией (номер телефона, адрес электронной почты и др.).
Для убеждения пользователя раскрыть информацию ограниченного доступа (или открыть вложение в письмо) наиболее часто используются поддельные письма от администрации какой-либо организации, с которой взаимодействует пользователь (например, банк)";"Внешний нарушитель с низким потенциалом";"1";"0";"0";"Опубликована";"2015-05-25 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 177"
"УБИ.176";"Угроза нарушения технологического/производственного процесса из-за временны́х задержек, вносимых средством защиты";"Средство защиты информации";"Вне области анализа ПО";"Вне области ПО";"АСУ ТП и технологические процессы";"";"Предмет сценария — срыв технологического или производственного процесса из-за задержек в системе реального времени.";"Предмет сценария — срыв технологического или производственного процесса из-за задержек в системе реального времени.";"";"Угроза заключается в возможности приведения системы в состояние «отказ в обслуживании» или нарушения штатного режима функционирования из-за временной задержки в системах реального времени, вносимой в процессы передачи и обработки защищаемой информации средствами защиты информации, вызванной необходимостью обработки передаваемой/обрабатываемой информации на предмет выявления и нейтрализации угроз безопасности информации.
На реализацию данной угрозы влияет не только номенклатура применяемых средств защиты информации, параметры их настройки, объём передаваемой/обрабатываемой информации, а также текущая активность внешних нарушителей, программные воздействия которых обрабатываются средствами защиты информации";"Внешний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-08-18 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 178"
"УБИ.177";"Угроза неподтверждённого ввода данных оператором в систему, связанную с безопасностью";"Системное программное обеспечение, сетевое программное обеспечение, прикладное программное обеспечение, аппаратное обеспечение";"Вне области анализа ПО";"Вне области ПО";"АСУ ТП и технологические процессы";"";"Проверка действий оператора описана применительно к активации управляемого оборудования в системе, связанной с безопасностью.";"Проверка действий оператора описана применительно к активации управляемого оборудования в системе, связанной с безопасностью.";"";"Угроза заключается в возможности возникновения ошибок в работе системы вследствие отсутствия (или игнорирования) процедуры обнаружения и исправления ошибок в данных, вводимых во время работы самим оператором, до активизации управляемого оборудования. Кроме того, к реализации данной угрозы могут привести некорректно реализованные (или отсутствующие) средства реагирования на неправильные, самопроизвольные действия оператора, средства учёта нижних/верхних пределов скорости и направления реакции оператора, схемы реагирования на двойное нажатие клавиш при вводе обычных и критических данных, процедуры формирования временных пауз с возможностью выбора разных ответов (да/нет и т.п.).
Реализуемость данной угрозы зависит от требований, предъявляемых к процедурам обнаружения и исправления ошибок во вводимых данных в систему, связанную с безопасностью, а также разницей между этими требованиями и фактическим уровнем обнаружения и исправления ошибок";"Внутренний нарушитель с низким потенциалом";"0";"1";"1";"Опубликована";"2015-08-18 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 179"
"УБИ.180";"Угроза отказа подсистемы обеспечения температурного режима";"Технические средства воздушного кондиционирования, включая трубопроводные системы для циркуляции охлаждённого воздуха в ЦОД, программируемые логические контроллеры, распределённые системы контроля, управленческие системы и другие программные средства контроля";"Вне области анализа ПО";"Вне области ПО";"Аппаратные средства";"";"Воздействие относится к вентиляции, кондиционированию и температурному режиму оборудования.";"Воздействие относится к вентиляции, кондиционированию и температурному режиму оборудования.";"";"Угроза заключается в возможности повреждения части компонентов системы или системы в целом вследствие выхода температурного режима их работы из заданных требований из-за возникновения отказа входящих в неё подсистем вентиляции и температурных приборов.
Реализация данной угрозы возможна как вследствие естественных техногенных причин, так и путём проведения определённых мероприятий нарушителем, направленных на удалённое отключение/вывод из строя компонентов подсистемы обеспечения температурного режима";"Внутренний нарушитель с низким потенциалом; Внешний нарушитель со средним потенциалом";"0";"0";"1";"Опубликована";"2015-08-18 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 182"
"УБИ.182";"Угроза физического устаревания аппаратных компонентов";"Аппаратное средство";"Вне области анализа ПО";"Вне области ПО";"Аппаратные средства";"";"Причина нарушения — физическое старение и износ аппаратных компонентов.";"Причина нарушения — физическое старение и износ аппаратных компонентов.";"";"Угроза заключается в возможности нарушения функциональности системы, связанной с безопасностью, вследствие отказов аппаратных компонентов этой системы из-за их физического устаревания (ржавление, быстрый износ, окисление, загрязнение, отслаивание, шелушение и др.), обусловленного влиянием физической окружающей среды (влажности, пыли, коррозийных субстанций).
Возможность реализации данной угрозы возрастает при использовании пользователями технических средств в условиях, не удовлетворяющих требованиям заданных их производителем";"Внутренний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-08-18 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 184"
"УБИ.183";"Угроза перехвата управления автоматизированной системой управления технологическими процессами";"Программное обеспечение автоматизированной системы управления технологическими процессами";"Вне области анализа ПО";"Вне области ПО";"АСУ ТП и технологические процессы";"";"Сценарий специально относится к перехвату АСУ ТП и нарушению управления промышленным оборудованием.";"Сценарий специально относится к перехвату АСУ ТП и нарушению управления промышленным оборудованием.";"";"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к информационной инфраструктуре за счёт получения нарушителем права управления входящей в её состав автоматизированной системой управления технологическими процессами путём эксплуатации уязвимостей её программного обеспечения или слабостей технологических протоколов передачи данных. 
Данная угроза обусловлена наличием у автоматизированной системы управления технологическими процессами программных сетевых интерфейсов взаимодействия и, как следствие, возможностью несанкционированного доступа к данной системе, а также недостаточностью мер фильтрации сетевого трафика и антивирусной защиты.
Реализация данной угрозы возможна при условии наличия у нарушителя прав на осуществление взаимодействия с автоматизированной системой управления технологическими процессами. Реализация данной угрозы может привести к:
блокированию или искажению (некорректность выполнения) алгоритмов отработки заданий управления технологическими процессами, непосредственного управления оборудованием предприятия;
нарушению штатного хода технологических процессов;
частичному или полному останову технологических процессов без (или с) выхода(-ом) оборудования из строя;
аварийной ситуации в критической системе информационной инфраструктуры";"Внешний нарушитель с высоким потенциалом; Внутренний нарушитель со средним потенциалом";"0";"1";"1";"Опубликована";"2016-06-23 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 185"
"УБИ.195";"Угроза удаленного запуска вредоносного кода в обход механизмов защиты операционной системы";"Стационарные и мобильные устройства (компьютеры и ноутбуки) (аппаратное устройство)";"Вне области анализа ПО";"Вне области ПО";"Аппаратные средства";"";"Определяющая предпосылка — аппаратная ошибка процессора и коллизии в его таблице буферов. Обход защиты и эксплуатация ОС зависят от этой аппаратной причины; самостоятельный программный сценарий без неё не выделен.";"Определяющая предпосылка — аппаратная ошибка процессора и коллизии в его таблице буферов. Обход защиты и эксплуатация ОС зависят от этой аппаратной причины; самостоятельный программный сценарий без неё не выделен.";"";"Угроза заключается в возможности удаленного запуска вредоносного кода за счет создания приложений, использующих обход механизмов защиты, встроенных в операционную систему.
Данная угроза обусловлена ошибками в процессорах (например, ошибками в процессоре Intel поколения Haswell), позволяющими за счет создания специальных приложений осуществлять обход механизмов защиты, встроенных в операционную систему (например, механизма ASLR).
Реализация данной угрозы возможна при: инициировании коллизии в таблице целевых буферов - с ее помощью можно узнать участки памяти, где находятся конкретные фрагменты кода;
создании приложения, использующего эти фрагменты кода для обхода механизма защиты;
запуске данного приложения в связке с эксплойтом какой-либо уязвимости самой операционной системы для создания возможности удаленного запуска вредоносного кода";"Внешний нарушитель с высоким потенциалом";"0";"1";"0";"Опубликована";"2017-06-07 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 197"
"УБИ.203";"Угроза утечки информации с неподключенных к сети Интернет компьютеров";"Программное обеспечение";"Вне области анализа ПО";"Вне области ПО";"Физический доступ и каналы утечки";"";"Несмотря на объект «ПО», описан физический оптический канал утечки через LED-индикаторы с установкой средства визуального съема.";"Несмотря на объект «ПО», описан физический оптический канал утечки через LED-индикаторы с установкой средства визуального съема.";"";"Угроза заключается в возможности хищения данных с неподключенных к сети Интернет компьютеров за счет компрометации их аппаратных элементов или устройств коммутационного оборудования (например, маршрутизаторов), оснащенных LED-индикаторами, фиксации мерцания этих индикаторов и расшифровки полученных результатов.
Реализация данной угрозы обусловлена тем, что существует возможность несанкционированного получения управления этими индикаторами (с помощью специальной прошивки или повышения привилегий и выполнения вредоносного кода), позволяющего передавать информацию путем ее преобразования в последовательность сигналов индикаторов компьютеров и коммутационного оборудования.
Реализация данной угрозы возможна при условии, что злоумышленником получен физический доступ к компрометируемому компьютеру или коммутационному оборудованию для установки средства визуального съема сигналов LED-индикаторов";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"0";"0";"Опубликована";"2017-09-01 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 205"
"УБИ.204";"Угроза несанкционированного изменения вредоносной программой значений параметров программируемых логических контроллеров";"Аппаратное устройство";"Вне области анализа ПО";"Вне области ПО";"АСУ ТП и технологические процессы";"";"Воздействие специально направлено на параметры ПЛК и исполнительные устройства АСУ ТП.";"Воздействие специально направлено на параметры ПЛК и исполнительные устройства АСУ ТП.";"";"Угроза заключается в возможности несанкционированного изменения вредоносной программой значений параметров контроля и управления исполнительными устройствами в программируемых логических контроллерах после ее проникновения и авторизации на данных устройствах.
Реализация угрозы обусловлена возможностью вредоносной программы обнаруживать в сети программируемые логические контроллеры, проникать и функционировать в операционной системе программируемых логических контроллеров, а также недостатками механизмов аутентификации.
Реализация данной угрозы возможна при условии, что существует возможность доступа к элементам автоматизированной системы управления технологическими процессами по сети Интернет";"Внешний нарушитель со средним потенциалом";"0";"1";"0";"Опубликована";"2017-09-01 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 206"
"УБИ.206";"Угроза отказа в работе оборудования из-за изменения геолокационной информации о нем";"Аппаратное устройство";"Вне области анализа ПО";"Вне области ПО";"АСУ ТП и технологические процессы";"";"Отказ связан с перемещением географически привязанного оборудования с ЧПУ.";"Отказ связан с перемещением географически привязанного оборудования с ЧПУ.";"";"Угроза заключается в прекращении работы оборудования с ЧПУ, вызванном изменением геолокационной информации о данном оборудовании. Угроза обусловлена геолокационной привязкой оборудования с ЧПУ к конкретной географической координате при пуско-наладочных работах. Угроза реализуется при условии перемещения оборудования с ЧПУ и приводит к невозможности его дальнейшей эксплуатации";"Внешний нарушитель с высоким потенциалом";"1";"0";"1";"Опубликована";"2017-10-30 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 208"
"УБИ.207";"Угроза несанкционированного доступа к параметрам настройки оборудования за счет использования «мастер-кодов» (инженерных паролей)";"Аппаратное устройство, программное обеспечение";"Вне области анализа ПО";"Вне области ПО";"АСУ ТП и технологические процессы";"";"Несмотря на жестко заданные пароли в ПО, исходный сценарий относится исключительно к инженерным настройкам оборудования с ЧПУ.";"Несмотря на жестко заданные пароли в ПО, исходный сценарий относится исключительно к инженерным настройкам оборудования с ЧПУ.";"";"Угроза заключается в несанкционированном получении доступа к параметрам настройки информации в оборудовании с ЧПУ посредством использования специальных «мастер-кодов» (инженерных паролей), «жестко прописанных» (не изменяемых путем конфигурирования) в программном обеспечении данного оборудования. Угроза обусловлена необходимостью проведения ремонтных работ при сбоях в ПО оборудования с ЧПУ представителями производителя";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2017-10-30 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 209"
